Election,ALP,LP,NAT,CP,CP/NP,UAP,GRN,DEM,DLP,ON,PROT,FT,A-S,Others, Total
1901,18.4,0,0,0,0,0,0,0,0,0,35.6,45.2,0,0.8,100
1903,21.3,0,0,0,0,0,0,0,0,0,22.5,56.2,0,0,100
1906,38.5,0,0,0,0,0,0,0,0,0,10,0,49.9,1.5,100
1910,51.1,43.9,0,0,0,0,0,0,0,0,0,0,0,5,100
1913,46.9,51.2,0,0,0,0,0,0,0,0,0,0,0,1.9,100
1914,52.2,47.7,0,0,0,0,0,0,0,0,0,0,0,0.1,100
1917,41.7,0,53,0,0,0,0,0,0,0,0,0,0,5.3,100
1919,46,0,40.6,0,0,0,0,0,0,0,0,0,0,13.4,100
1922,42.6,0,36.5,12,0,0,0,0,0,0,0,0,0,8.9,100
1925,46.3,0,44.6,9,0,0,0,0,0,0,0,0,0,0.1,100
1928,52.1,0,36.8,7.7,0,0,0,0,0,0,0,0,0,3.3,100
1929,51.5,0,30,10.4,0,0,0,0,0,0,0,0,0,8.2,100
1931,16.4,0,0,17.5,0,36.2,0,0,0,0,0,0,0,29.9,100
1934,9.4,0,0,14.5,0,33.8,0,0,0,0,0,0,0,42.3,100
1937,45.3,0,0,14.4,0,35,0,0,0,0,0,0,0,5.3,100
1940,35.3,0,0,11.6,0,27.3,0,0,0,0,0,0,0,25.9,100
1943,53.8,0,0,8.6,0,16.6,0,0,0,0,0,0,0,21,100
1946,51.4,29.9,0,0,11,0,0,0,0,0,0,0,0,7.7,100
1949,46.9,37.1,0,0,11,0,0,0,0,0,0,0,0,5,100
1951,49.1,39,0,0,10.1,0,0,0,0,0,0,0,0,1.8,100
1954,52.3,35.1,0,0,8.3,0,0,0,0,0,0,0,0,4.3,100
1955,49.6,38.6,0,0,8.6,0,0,0,0,0,0,0,0,3.2,100
1958,47.1,35.9,0,0,9.6,0,0,0,5.6,0,0,0,0,1.8,100
1961,52.2,31,0,0,9.4,0,0,0,5.4,0,0,0,0,2,100
1963,47.5,36.9,0,0,9.8,0,0,0,4.4,0,0,0,0,1.3,100
1966,40.7,40.7,0,0,10.7,0,0,0,4.5,0,0,0,0,3.3,100
1969,47.7,33.7,0,0,9.8,0,0,0,3.4,0,0,0,0,5.4,100
1972,51.9,30,0,0,9.8,0,0,0,3.5,0,0,0,0,4.8,100
1974,52.7,33.4,0,0,10.6,0,0,0,0,0,0,0,0,3.3,100
1975,45.5,39.7,0,0,11.8,0,0,0,0,0,0,0,0,3.1,100
1977,42.4,35.9,0,0,11.3,0,0,8.5,0,0,0,0,0,1.9,100
1980,46.4,35.7,0,0,10.5,0,0,5.7,0,0,0,0,0,1.8,100
1983,50.1,31.6,0,0,11,0,0,4.8,0,0,0,0,0,2.6,100
1984,48.3,32.8,0,0,10.5,0,0,5.9,0,0,0,0,0,2.5,100
1987,45.1,33.3,0,0,11.8,0,0,6.3,0,0,0,0,0,3.5,100
1990,41.2,29.1,0,0,11.2,0,1.5,10.2,0,0,0,0,0,6.8,100
1993,48.3,31.8,0,0,9.8,0,1.4,2.8,0,0,0,0,0,5.9,100
1996,39.6,33.5,0,0,12.1,0,2.6,6.5,0,0,0,0,0,5.8,100
1998,40.1,30.5,0,0,7.9,0,2.7,4.2,0,9,0,0,0,5.7,100
2001,36.4,33.6,0,0,9.2,0,4.8,4.2,0,4.8,0,0,0,7,100
2004,36.7,36.2,0,0,9.2,0,8.1,1.1,0,1.4,0,0,0,7.4,100
2007,44.1,32.6,0,0,7.9,0,7.9,0.3,0,0.2,0,0,0,7,100
2010,37.3,36.7,0,0,7.9,0,10.2,0.3,0,0.5,0,0,0,7.1,100
2013,34.5,37.3,0,0,10,0,7.9,0,0.4,0.5,0,0,0,9.3,100
2016,36.9,32.7,0,0,9.6,0,9,0,0,0.6,0,0,0,11.1,100
