Election,ALP,LP,LNP,NAT,CP,CP/NP,UAP,GRN,DEM,DLP,ON,PROT,FT,A-S,Others, Total
1901,39.7,0,0,0,0,0,0,0,0,0,0,41.3,8.1,0,10.8,100
1903,56.7,0,0,0,0,0,0,0,0,0,0,1.6,13.3,0,28.4,100
1906,43,0,0,0,0,0,0,0,0,0,0,6.2,0,50.8,0,100
1910,47.6,48.5,0,0,0,0,0,0,0,0,0,0,0,0,3.8,100
1913,54.8,45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1914,55.7,44.3,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1917,48.7,0,0,51.4,0,0,0,0,0,0,0,0,0,0,0,100
1919,46.8,0,0,49.5,0,0,0,0,0,0,0,0,0,0,3.7,100
1922,41.4,0,0,42.8,12.5,0,0,0,0,0,0,0,0,0,3.3,100
1925,42.4,0,0,47.7,9.8,0,0,0,0,0,0,0,0,0,0.1,100
1928,47.4,0,0,36.7,15.9,0,0,0,0,0,0,0,0,0,0,100
1929,39.8,0,0,43.5,10.7,0,0,0,0,0,0,0,0,0,6,100
1931,39.3,0,0,0,10.1,0,34.9,0,0,0,0,0,0,0,15.8,100
1934,46.8,0,0,0,10.2,0,35.4,0,0,0,0,0,0,0,7.7,100
1937,43,0,0,0,23.5,0,20.8,0,0,0,0,0,0,0,12.7,100
1940,46.1,0,0,0,25.7,0,23.2,0,0,0,0,0,0,0,5.1,100
1943,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,52.2,100
1946,43.1,20.5,0,0,0,22.1,0,0,0,0,0,0,0,0,14.3,100
1949,39.5,31.5,0,0,0,24.8,0,0,0,0,0,0,0,0,4.1,100
1951,41,30.9,0,0,0,23.8,0,0,0,0,0,0,0,0,4.3,100
1954,42.5,32.1,0,0,0,21.9,0,0,0,0,0,0,0,0,3.5,100
1955,42.1,31.9,0,0,0,20.9,0,0,0,0,0,0,0,0,5.1,100
1958,37.5,31.1,0,0,0,19.4,0,0,0,11.1,0,0,0,0,1,100
1961,48.1,27,0,0,0,16.6,0,0,0,7.5,0,0,0,0,0.8,100
1963,46.3,28.6,0,0,0,18.3,0,0,0,6.3,0,0,0,0,0.5,100
1966,42.1,30.2,0,0,0,19.6,0,0,0,7.5,0,0,0,0,0.6,100
1969,48.2,27.5,0,0,0,17,0,0,0,6.8,0,0,0,0,0.5,100
1972,47.2,25.5,0,0,0,19.6,0,0,0,5.6,0,0,0,0,2.2,100
1974,44,30.5,0,0,0,23.6,0,0,0,0,0,0,0,0,1.9,100
1975,38.8,32.6,0,0,0,26.7,0,0,0,0,0,0,0,0,1.9,100
1977,37.7,27.7,0,0,0,26,0,0,6.6,0,0,0,0,0,2,100
1980,42.8,27.3,0,0,0,21.8,0,0,5.3,0,0,0,0,0,2.8,100
1983,46.1,24.4,0,0,0,23.7,0,0,4.7,0,0,0,0,0,1.1,100
1984,44.1,19.2,0,0,0,31.7,0,0,4.8,0,0,0,0,0,0.3,100
1987,45,21,0,0,0,28.8,0,0,4.9,0,0,0,0,0,0.3,100
1990,41.6,28.5,0,0,0,16.8,0,0.6,11.6,0,0,0,0,0,0.9,100
1993,40.5,31.2,0,0,0,14.7,0,3.2,4.1,0,0,0,0,0,6.2,100
1996,33.2,39.3,0,0,0,15.9,0,2.5,6.7,0,0,0,0,0,2.5,100
1998,36.1,30.9,0,0,0,10,0,2.4,4,0,14.3,0,0,0,2.3,100
2001,34.7,36.5,0,0,0,9.1,0,3.5,4.3,0,7.1,0,0,0,4.8,100
2004,34.8,39.4,0,0,0,9.7,0,5.1,1.4,0,2,0,0,0,7.7,100
2007,42.9,34.4,0,0,0,10.1,0,5.6,0.9,0,0.4,0,0,0,5.7,100
2010,33.6,0,47.4,0,0,0,0,10.9,0,0.2,0.2,0,0,0,7.7,100
2013,29.8,0,45.7,0,0,0,0,6.2,0,0,0.1,0,0,0,18.2,100
2016,30.9,0,43.2,0,0,0,0,8.8,0,0.1,5.5,0,0,0,11.5,100
