Election,ALP,LP,NAT,CP,CP/NP,UAP,GRN,DEM,DLP,ON,PROT,LCL,FT,Others, Total
1901,15.9,0,0,0,0,0,0,0,0,0,33.4,0,50.2,0.5,100
1903,60.2,0,0,0,0,0,0,0,0,0,15.3,0,24.5,0,100
1906,38.3,0,0,0,0,0,0,0,0,0,61.7,0,0,0,100
1910,53.6,37.2,0,0,0,0,0,0,0,0,0,0,0,9.2,100
1913,51.5,47.7,0,0,0,0,0,0,0,0,0,0,0,0.8,100
1914,57.2,42.8,0,0,0,0,0,0,0,0,0,0,0,0,100
1917,41.3,0,58.7,0,0,0,0,0,0,0,0,0,0,0,100
1919,42.5,0,53.6,0,0,0,0,0,0,0,0,0,0,3.9,100
1922,50.5,0,17.1,4.9,0,0,0,0,0,0,0,0,0,27.5,100
1925,48.2,0,51.8,0,0,0,0,0,0,0,0,0,0,0,100
1928,40.2,0,43.9,14.1,0,0,0,0,0,0,0,0,0,1.9,100
1929,53,0,37.7,0,0,0,0,0,0,0,0,0,0,9.4,100
1931,28.2,0,0,0,0,0,0,0,0,0,0,0,0,71.8,100
1934,34.2,0,0,0,0,0,0,0,0,0,0,45.9,0,19.8,100
1937,39.4,0,0,10.7,0,39.7,0,0,0,0,0,0,0,10.3,100
1940,39.8,0,0,17.4,0,33.4,0,0,0,0,0,0,0,9.4,100
1943,54.4,0,0,0,0,0,0,0,0,0,0,38.9,0,6.7,100
1946,54.5,41.7,0,0,0,0,0,0,0,0,0,0,0,3.9,100
1949,49.7,48.7,0,0,0,0,0,0,0,0,0,0,0,1.6,100
1951,48.9,50.1,0,0,0,0,0,0,0,0,0,0,0,1,100
1954,55.1,43.2,0,0,0,0,0,0,0,0,0,0,0,1.7,100
1955,48.8,46.2,0,0,0,0,0,0,2.6,0,0,0,0,2.4,100
1958,47.5,44.9,0,0,0,0,0,0,6,0,0,0,0,1.5,100
1961,52.1,40.2,0,0,0,0,0,0,6.5,0,0,0,0,1.2,100
1963,53.2,36,0,0,0,0,0,0,9.1,0,0,0,0,1.6,100
1966,40.7,54.3,0,0,0,0,0,0,3.5,0,0,0,0,1.5,100
1969,52.4,42.4,0,0,0,0,0,0,3.1,0,0,0,0,2.2,100
1972,50.6,41.3,0,0,2.2,0,0,0,3.7,0,0,0,0,2.1,100
1974,48.6,36.6,0,0,4.1,0,0,0,0,0,0,0,0,10.6,100
1975,42.6,49.3,0,0,0.5,0,0,0,0,0,0,0,0,7.5,100
1977,42.6,45,0,0,0.8,0,0,11.3,0,0,0,0,0,0.3,100
1980,44.5,44.5,0,0,1.4,0,0,8.8,0,0,0,0,0,0.9,100
1983,48.4,42.1,0,0,1.1,0,0,6.9,0,0,0,0,0,1.5,100
1984,46.9,43,0,0,1.5,0,0,7.9,0,0,0,0,0,0.8,100
1987,44.6,42.5,0,0,3.8,0,0,7.8,0,0,0,0,0,1.4,100
1990,38,42.6,0,0,0,0,0.2,15.2,0,0,0,0,0,4,100
1993,38.8,45.7,0,0,0.3,0,0.2,7.8,0,0,0,0,0,7.2,100
1996,34.8,50,0,0,0,0,2.9,10.2,0,0,0,0,0,2,100
1998,34.5,42.1,0,0,0.5,0,0.5,10.1,0,9.8,0,0,0,2.5,100
2001,33.7,45.9,0,0,0,0,3.6,10.5,0,4.8,0,0,0,1.4,100
2004,36.8,47.4,0,0,1,0,5.4,1.9,0,1.1,0,0,0,6.4,100
2007,43.2,41.8,0,0,1.3,0,7,1.5,0,0.2,0,0,0,5.2,100
2010,40.7,40.2,0,0,0,0,12,0.7,0,0.1,0,0,0,6.2,100
2013,35.7,44.5,0,0,0.4,0,8.3,0,0.1,0,0,0,0,11,100
2016,31.5,35.1,0,0,0,0,6.2,0,0,0,0,0,0,27.2,100
