Election,ALP,LP,NAT,CP,CP/NP,UAP,GRN,DEM,DLP,ON,PROT,FT,A-S,Others, Total
1901,8.7,0,0,0,0,0,0,0,0,0,67.4,24,0,0,100
1903,27.1,0,0,0,0,0,0,0,0,0,51.4,21.4,0,0,100
1906,30.4,0,0,0,0,0,0,0,0,0,29.3,0,25,15.3,100
1910,48.1,45.8,0,0,0,0,0,0,0,0,0,0,0,6.1,100
1913,46.8,47.6,0,0,0,0,0,0,0,0,0,0,0,5.6,100
1914,45.8,48.1,0,0,0,0,0,0,0,0,0,0,0,6,100
1917,46.6,0,53.4,0,0,0,0,0,0,0,0,0,0,0,100
1919,38.1,0,43.9,0,0,0,0,0,0,0,0,0,0,18.1,100
1922,42.2,0,33,14.2,0,0,0,0,0,0,0,0,0,10.6,100
1925,44.8,0,38,13.9,0,0,0,0,0,0,0,0,0,3.3,100
1928,39.7,0,39.8,11.1,0,0,0,0,0,0,0,0,0,9.4,100
1929,48.9,0,31.7,12.1,0,0,0,0,0,0,0,0,0,7.3,100
1931,34.2,0,0,9.6,0,48.5,0,0,0,0,0,0,0,7.6,100
1934,36.4,0,0,5.4,0,41.3,0,0,0,0,0,0,0,16.9,100
1937,39.3,0,0,0,0,39.5,0,0,0,0,0,0,0,21.1,100
1940,43.5,0,0,0,0,34.5,0,0,0,0,0,0,0,22,100
1943,43.4,0,0,7.1,0,26,0,0,0,0,0,0,0,23.6,100
1946,47.9,37.8,0,0,9.4,0,0,0,0,0,0,0,0,4.9,100
1949,46.8,41.4,0,0,8.2,0,0,0,0,0,0,0,0,3.6,100
1951,49.1,43.6,0,0,5.2,0,0,0,0,0,0,0,0,2.1,100
1954,50.3,45.2,0,0,3.4,0,0,0,0,0,0,0,0,1.1,100
1955,37.1,41.4,0,0,5.5,0,0,0,15.8,0,0,0,0,0.2,100
1958,39.5,37.8,0,0,7.4,0,0,0,14.8,0,0,0,0,0.5,100
1961,41.6,34.8,0,0,7.5,0,0,0,15.1,0,0,0,0,0.9,100
1963,40.4,39.1,0,0,7.6,0,0,0,12.4,0,0,0,0,0.6,100
1966,35.1,39.8,0,0,8.3,0,0,0,12.6,0,0,0,0,4.3,100
1969,41.3,37.6,0,0,6.8,0,0,0,10.8,0,0,0,0,3.5,100
1972,47.3,33.6,0,0,7.4,0,0,0,8.3,0,0,0,0,3.3,100
1974,47.9,36.4,0,0,7.5,0,0,0,5.2,0,0,0,0,3.1,100
1975,42.1,42.3,0,0,8.9,0,0,0,4.9,0,0,0,0,1.8,100
1977,37.2,39.6,0,0,5.6,0,0,11.8,5.3,0,0,0,0,0.5,100
1980,45.5,39.1,0,0,4.9,0,0,8.2,1.1,0,0,0,0,1.1,100
1983,50.5,37.1,0,0,4.9,0,0,5.7,0.7,0,0,0,0,1.1,100
1984,48.9,36.9,0,0,6.4,0,0,5,2.2,0,0,0,0,0.6,100
1987,46.9,38,0,0,6.3,0,0,6.7,0.1,0,0,0,0,1.8,100
1990,37.1,39.7,0,0,6,0,0,12.4,0.1,0,0,0,0,4.7,100
1993,46.4,40.2,0,0,5,0,0.1,3.7,0,0,0,0,0,4.5,100
1996,42.9,39.9,0,0,4.6,0,1.9,7.4,0,0,0,0,0,3.3,100
1998,44.4,37.1,0,0,2.7,0,2.1,6,0,3.7,0,0,0,4,100
2001,41.7,39.1,0,0,3.1,0,5.9,6.2,0,1.3,0,0,0,2.8,100
2004,40.4,43.2,0,0,3.5,0,7.5,1.1,0,0.1,0,0,0,4.2,100
2007,44.7,38.1,0,0,3,0,8.2,1.2,0.2,0,0,0,0,4.6,100
2010,42.8,36.4,0,0,3.2,0,12.7,0.1,0,0,0,0,0,4.8,100
2013,34.8,40.1,0,0,2.6,0,10.8,0,0.5,0,0,0,0,11.2,100
2016,35.6,37,0,0,4.8,0,13.1,0,0,0,0,0,0,9.5,100
