Election,ALP,LP,NAT,CP,CP/NP,UAP,GRN,DEM,DLP,ON,PROT,FT,A-S,Others, Total
1901,33.4,0,0,0,0,0,0,0,0,0,9.1,57.5,0,0,100
1903,66.9,0,0,0,0,0,0,0,0,0,0,33.1,0,0,100
1906,56.1,0,0,0,0,0,0,0,0,0,0,0,0,43.9,100
1910,53.3,46.5,0,0,0,0,0,0,0,0,0,0,0,0.3,100
1913,48.8,51.2,0,0,0,0,0,0,0,0,0,0,0,0,100
1914,47,53,0,0,0,0,0,0,0,0,0,0,0,0,100
1917,34.4,0,65.7,0,0,0,0,0,0,0,0,0,0,0,100
1919,39.9,0,41.5,17.9,0,0,0,0,0,0,0,0,0,0.8,100
1922,35.4,0,36.7,16,0,0,0,0,0,0,0,0,0,11.9,100
1925,40.9,0,19.1,27.8,0,0,0,0,0,0,0,0,0,12.3,100
1928,41.2,0,30.2,19.4,0,0,0,0,0,0,0,0,0,9.2,100
1929,53.6,0,33.3,5.4,0,0,0,0,0,0,0,0,0,7.7,100
1931,40.3,0,0,21.3,0,24.7,0,0,0,0,0,0,0,13.7,100
1934,36.9,0,0,31.1,0,,0,0,0,0,0,0,0,32.1,100
1937,48.7,0,0,21.5,0,27.5,0,0,0,0,0,0,0,2.3,100
1940,38.2,0,0,24.4,0,29.8,0,0,0,0,0,0,0,7.6,100
1943,55.5,0,0,15.2,0,13.4,0,0,0,0,0,0,0,15.9,100
1946,54.8,28.4,0,0,10.2,0,0,0,0,0,0,0,0,6.6,100
1949,45.4,41.5,0,0,11.7,0,0,0,0,0,0,0,0,1.4,100
1951,43.3,40.4,0,0,15.6,0,0,0,0,0,0,0,0,0.7,100
1954,47.5,34.3,0,0,14.5,0,0,0,0,0,0,0,0,3.6,100
1955,51.9,41.2,0,0,0,0,0,0,0,0,0,0,0,6.9,100
1958,35,41.6,0,0,11.5,0,0,0,10.5,0,0,0,0,1.3,100
1961,40.9,45.8,0,0,6,0,0,0,6.6,0,0,0,0,0.8,100
1963,39.2,47.7,0,0,6.3,0,0,0,4.5,0,0,0,0,2.3,100
1966,42.8,40.9,0,0,8.3,0,0,0,7.3,0,0,0,0,0.7,100
1969,50,36.1,0,0,6.4,0,0,0,5.5,0,0,0,0,2.1,100
1972,46.1,39.3,0,0,8.3,0,0,0,4.5,0,0,0,0,1.7,100
1974,46.3,41.4,0,0,10.7,0,0,0,0,0,0,0,0,1.5,100
1975,40.1,53.6,0,0,5,0,0,0,0,0,0,0,0,1.2,100
1977,32.6,48.7,0,0,4,0,0,11.2,0,0,0,0,0,3.5,100
1980,42,46.6,0,0,2.3,0,0,7.1,0,0,0,0,0,2,100
1983,52,41.8,0,0,0.8,0,0,4,0,0,0,0,0,1.4,100
1984,48.2,45.7,0,0,1.3,0,0,3.7,0,0,0,0,0,1.1,100
1987,47.5,41.8,0,0,6.9,0,0,3.4,0,0,0,0,0,0.4,100
1990,35.3,43.9,0,0,2.4,0,7.5,8.4,0,0,0,0,0,2.4,100
1993,39.4,49,0,0,0.2,0,5.8,3.3,0,0,0,0,0,2.3,100
1996,34.7,44,0,0,1.3,0,5.3,5.6,0,0,0,0,0,9,100
1998,36.2,38.2,0,0,1.3,0,5.1,4,0,9.3,0,0,0,6,100
2001,37.1,41.4,0,0,1,0,6,4.7,0,6.3,0,0,0,3.5,100
2004,34.7,48.1,0,0,0.6,0,7.7,1.5,0,2.5,0,0,0,4.8,100
2007,36.8,46.3,0,0,1.1,0,8.9,0,0,1.2,0,0,0,5.7,100
2010,31.2,47,0,0,3.6,0,13.1,0,0.1,0.1,0,0,0,4.9,100
2013,28.8,47.3,0,0,3.9,0,9.7,0.1,0,0,0,0,0,10.2,100
2016,32.5,45.7,0,0,3,0,12.1,0,0,0,0,0,0,6.8,100
