Election,Party,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,AUS
,,,,,,,,,,
1949,ALP,50.8,49.7,42.7,50.6,47,46.5,n.a.,n.a.,49
,LP/NP,49.2,50.3,57.3,49.4,53,53.5,n.a.,n.a.,51
,,,,,,,,,,
1951,ALP,50.5,50.7,43.5,51.8,45.6,47.4,n.a.,n.a.,49.3
,LP/NP,49.5,49.3,56.5,48.2,54.4,52.6,n.a.,n.a.,50.7
,,,,,,,,,,
1954,ALP,53,50.7,44.8,52.7,48.1,50,n.a.,n.a.,50.7
,LP/NP,47,49.3,55.2,47.3,51.9,50,n.a.,n.a.,49.3
,,,,,,,,,,
1955,ALP,49.5,40.8,43.9,49,43.5,47.5,n.a.,n.a.,45.8
,LP/NP,50.5,59.2,56.1,51,56.5,52.5,n.a.,n.a.,54.2
,,,,,,,,,,
1958,ALP,49.8,42.3,41.4,49.8,40.8,49.8,n.a.,n.a.,45.9
,LP/NP,50.2,57.7,58.6,50.2,59.2,50.2,n.a.,n.a.,54.1
,,,,,,,,,,
1961,ALP,54.8,44.5,50.7,54.2,43.5,56,n.a.,n.a.,50.5
,LP/NP,45.2,55.5,49.3,45.8,56.5,44,n.a.,n.a.,49.5
,,,,,,,,,,
1963,ALP,49.3,42.5,48.1,53.3,43.8,54.5,n.a.,n.a.,47.4
,LP/NP,50.7,57.5,51.9,46.7,56.2,45.5,n.a.,n.a.,52.6
,,,,,,,,,,
1966,ALP,43.9,39.3,44.3,42.4,45.7,53.9,n.a.,55.8,43.1
,LP/NP,56.1,60.7,55.7,57.6,54.3,46.1,n.a.,44.2,56.9
,,,,,,,,,,
1969,ALP,51.6,44.9,49.9,54.2,52.6,56.1,40.8,71.6,50.2
,LP/NP,48.4,55.1,50.1,45.8,47.4,43.9,59.2,28.4,49.8
,,,,,,,,,,
1972,ALP,55.4,50.4,49.5,52.7,48.3,60.5,45.5,68,52.7
,LP/NP,44.6,49.6,50.5,47.3,51.7,39.5,54.5,32,47.3
,,,,,,,,,,
1974,ALP,54.9,50.6,45.4,52.5,48.5,55.4,47.3,59.7,51.7
,LP/NP,45.1,49.4,54.6,47.5,51.5,44.6,52.7,40.3,48.3
,,,,,,,,,,
1975,ALP,46.8,43.8,39.8,44.9,41.2,44.1,45.1,49.3,44.3
,LP/NP,53.2,56.2,60.2,55.1,58.8,55.9,54.9,50.7,55.7
,,,,,,,,,,
1977,ALP,47.6,44.5,42,48.7,39.9,43.8,47.5,54.3,45.4
,LP/NP,52.4,55.5,58,51.3,60.1,56.2,52.5,45.7,54.6
,,,,,,,,,,
1980,ALP,50.4,50.7,46.9,49.6,46.7,47.1,48.8,58.6,49.6
,LP/NP,49.6,49.3,53.1,50.4,53.3,52.9,51.2,41.4,50.4
,,,,,,,,,,
1983,ALP,54.1,54.5,49.5,52.3,55,43.6,51.9,65.5,53.2
,LP/NP,45.9,45.5,50.5,47.7,45,56.4,48.1,34.5,46.8
,,,,,,,,,,
1984,ALP,52.9,53.1,47.7,51.7,50.9,46.6,48.6,62,51.8
,LP/NP,47.1,46.9,52.3,48.3,49.1,53.4,51.4,38,48.2
,,,,,,,,,,
1987,ALP,50.3,52.3,49.3,50.2,50.9,46.9,52.2,63.2,50.8
,LP/NP,49.7,47.7,50.7,49.8,49.1,53.1,47.8,36.8,49.2
,,,,,,,,,,
1990,ALP,52.1,47.5,50.2,49.5,47.1,47.9,55,58.5,49.9
,LP/NP,47.9,52.5,49.8,50.5,52.9,52.1,45,41.5,50.1
,,,,,,,,,,
1993,ALP,54.4,51.8,48.4,47.3,46,54.6,55.3,61.2,51.4
,LP/NP,45.6,48.2,51.6,52.7,54,45.4,44.7,38.8,48.6
,,,,,,,,,,
1996,ALP,47.4,50.3,39.8,42.7,44,51.6,49.6,55.5,46.4
,LP/NP,52.6,49.7,60.2,57.3,56,48.4,50.4,44.5,53.6
,,,,,,,,,,
1998,ALP,51.5,53.5,46.9,46.9,49.5,57.3,50.6,62.4,51
,LP/NP,48.5,46.5,53.1,53.1,50.5,42.7,49.4,37.6,49
,,,,,,,,,,
2001,ALP,48.3,52.1,45.1,45.9,48.4,57.7,52.5,61.1,49
,LP/NP,51.7,47.9,54.9,54.1,51.6,42.3,47.5,38.9,51
,,,,,,,,,,
2004,ALP,48.1,49,42.9,45.6,44.6,54.2,52.1,61.5,47.3
,LP/NP,51.9,51,57.1,54.4,55.4,45.8,47.9,38.5,52.7
,,,,,,,,,,
2007,ALP,53.7,54.3,50.4,52.4,46.7,56.2,55.4,63.4,52.7
,LP/NP,46.3,45.7,49.6,47.6,53.3,43.8,44.6,36.6,47.3
,,,,,,,,,,
2010,ALP,48.8,55.3,44.9,53.2,43.6,60.6,50.7,61.7,50.1
,LP/NP,51.2,44.7,55.1,46.8,56.4,39.4,49.3,38.3,49.9
,,,,,,,,,,
2013,ALP,45.6,50.2,43,47.6,41.7,51.2,49.7,59.9,46.5
,LP/NP,54.4,49.8,57,52.4,58.3,48.8,50.3,40.1,53.5
,,,,,,,,,,
2016,ALP,49.5,51.8,45.9,52.3,45.3,57.4,57.1,61.1,49.6
,LP/NP,50.5,48.2,54.1,47.7,54.7,42.6,42.9,38.9,50.4
